zone_code,tree_cover_ratio,grassland_ratio,builtup_landcover_ratio,bare_sparse_ratio,water_ratio,dominant_landcover_class,landcover_source,landcover_warning
NSR-GRID-228,0.0004620837621953851,0.0,0.9755476145605312,0.02399030167727335,0.0,50,esa_worldcover_v200,
NSR-GRID-229,0.0,0.0,0.9805924819877938,0.019407518012206176,0.0,50,esa_worldcover_v200,
NSR-GRID-230,0.0,0.00013228280251083573,0.9980846175033703,0.0017830996941186625,0.0,50,esa_worldcover_v200,
NSR-GRID-231,0.0,0.02169399015167997,0.5158502580734478,0.42631228535078924,0.0,49,esa_worldcover_v200,
NSR-GRID-232,0.02352898293191904,0.0,0.9764710170680809,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-233,0.0,0.0,0.9997390358825664,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-234,0.0,0.0,0.9985302645886192,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-235,0.0023106197897789092,0.0018484958318231274,0.9759351214208046,0.0023450525552736537,0.0,50,esa_worldcover_v200,
NSR-GRID-236,0.0,0.0018484958318231274,0.83195904313157,0.16619246103660762,0.0,50,esa_worldcover_v200,
NSR-GRID-237,0.0,0.023568321855744874,0.3331732511779643,0.6427963030083368,0.0,60,esa_worldcover_v200,
NSR-GRID-238,0.007856107285248291,0.0,0.621301196085538,0.37084269662921443,0.0,50,esa_worldcover_v200,
NSR-GRID-239,0.0046212395795578185,0.0,0.6842986589343973,0.31108010148604687,0.0,50,esa_worldcover_v200,
