zone_code,population_sum,population_mean,population_source,population_warning,population_density_proxy
NSR-GRID-361,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-362,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-363,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-364,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-365,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-366,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-367,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-368,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-369,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-370,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-371,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-372,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-373,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-374,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-375,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-376,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-377,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-378,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-379,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-380,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-381,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-382,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-383,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-384,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-385,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-386,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-387,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-388,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-389,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-390,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-391,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-392,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-393,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-394,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-395,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-396,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-397,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-398,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-399,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-400,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-401,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-402,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-403,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-404,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-405,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-406,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-407,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-408,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-409,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-410,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-411,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-412,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-413,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-414,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-415,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-416,0.0,0.0,worldpop_100m,,0.0
