zone_code,zone_area_m2,zone_area_km2,road_count,road_length_m,road_density_m_per_km2,primary_road_count,secondary_road_count,tertiary_road_count,residential_road_count,service_road_count,unknown_road_count,avg_base_speed_kph,avg_base_travel_time_sec,intersection_proxy_count
NSR-GRID-266,249999.99999953434,0.24999999999953434,42,5533.903783445522,22135.615133823318,0,0,0,0,0,42,50.41013761826569,13.366263040862718,34
NSR-GRID-267,15062.471754349259,0.01506247175434926,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-268,7773.379785807113,0.007773379785807113,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-269,229337.42076566967,0.22933742076566968,47,2474.170056705265,10788.33994227789,0,0,0,0,0,47,24.3067637913566,8.025432121197385,22
NSR-GRID-270,248794.41235496107,0.24879441235496105,11,1938.3443372089891,7790.948031596087,0,0,0,0,0,11,46.50455291834602,20.943779930673745,7
NSR-GRID-271,250000.00000046566,0.2500000000004657,100,7304.765385101849,29219.061540352966,0,0,0,0,0,100,23.5,11.190278887815598,44
NSR-GRID-272,250000.0000006985,0.2500000000006985,98,6450.222776773855,25800.891107023333,0,0,0,0,0,98,23.5,10.082849325395518,44
NSR-GRID-273,250000.0000006985,0.2500000000006985,30,2554.1841750405943,10216.736700133832,0,0,0,0,0,30,31.083579638752052,9.98596691665898,16
NSR-GRID-274,250000.00000093132,0.2500000000009313,8,1383.5569447730318,5534.227779071511,0,0,0,0,0,8,61.417898193760266,10.137120342081605,9
NSR-GRID-275,250000.0000006985,0.2500000000006985,87,9318.33775452758,37273.35101800618,0,0,0,0,0,87,36.09570050771002,10.684900729320015,54
NSR-GRID-276,250000.0000006985,0.2500000000006985,61,3369.206952033297,13476.827808095533,0,0,0,0,0,61,30.337653772645293,7.750802792775238,34
NSR-GRID-277,250000.00000046566,0.2500000000004657,22,3057.6302528019496,12230.521011185016,0,0,0,0,0,22,37.28832661591282,16.35039025535193,16
NSR-GRID-278,250000.0000006985,0.2500000000006985,36,2903.945790422114,11615.783161656002,0,0,0,0,0,36,24.553274949826672,12.043975638728185,20
