zone_code,event_count,mean_predicted_score,max_predicted_score,min_predicted_score,high_risk_event_count,medium_risk_event_count,low_risk_event_count,high_risk_event_ratio,mean_absolute_error,mean_rain_24h_mm,max_rain_24h_mm,mean_gpm_precipitation_sum,mean_built_surface_mean,mean_population_sum,dominant_risk_class
NSR-GRID-096,30,0.5028829638983009,0.8417800465387989,0.3826652081406825,5,25,0,0.16666666666666666,0.00457206212438609,10.506666666666668,44.9,0.0,3301.563771186441,0.0,medium
NSR-GRID-097,30,0.4376818610790603,0.78213888326318,0.3135420307091485,4,16,10,0.13333333333333333,0.004671417822082025,10.506666666666668,44.9,0.0,2947.63302946788,0.0,medium
NSR-GRID-098,30,0.45723516499160827,0.7971329690392585,0.335426097691423,4,26,0,0.13333333333333333,0.004445804451025705,10.506666666666668,44.9,0.0,3322.011231193051,0.0,medium
NSR-GRID-099,30,0.43106619310820343,0.7704775860692841,0.3086547949815379,4,16,10,0.13333333333333333,0.0041983490997142235,10.506666666666668,44.9,0.0,2835.5375158965658,0.0,medium
NSR-GRID-100,30,0.2622195356976301,0.6063718781445195,0.1389096951412807,0,7,23,0.0,0.005935335804557036,10.506666666666668,44.9,0.0,758.1606953572186,0.0,low
NSR-GRID-101,30,0.29253958184952694,0.6353527182850235,0.1716401813059748,0,7,23,0.0,0.004363070620799531,10.506666666666668,44.9,0.0,385.41483050847455,0.0,low
NSR-GRID-102,30,0.2796581738060389,0.620901441935121,0.1595953309399563,0,7,23,0.0,0.004536394832471321,10.506666666666668,44.9,0.0,18.059758423394783,0.0,low
NSR-GRID-103,30,0.25730340414429625,0.5985122735703906,0.137503128590614,0,7,23,0.0,0.004827185237306288,10.506666666666668,44.9,0.0,132.43789741415856,0.0,low
NSR-GRID-104,30,0.2828692961115005,0.6264498936309945,0.1618452290501443,0,7,23,0.0,0.004002652352557522,10.506666666666668,44.9,0.0,266.68013856812934,0.0,low
NSR-GRID-105,30,0.5008079333726365,0.8416731449788383,0.3773775130772399,5,25,0,0.16666666666666666,0.00520906361139681,10.506666666666668,44.9,0.0,3617.1870310825298,0.0,medium
NSR-GRID-106,30,0.27643294812370367,0.6181522670065095,0.1559394904687748,0,7,23,0.0,0.0044366261988347,10.506666666666668,44.9,0.0,91.41150159744409,0.0,low
NSR-GRID-107,30,0.5569225170616614,0.895910823545325,0.4368693574697062,5,25,0,0.16666666666666666,0.004911565486322402,10.506666666666668,44.9,0.0,3836.614924757783,0.0,medium
NSR-GRID-108,30,0.5153036271636409,0.8547058385314081,0.3947035491546428,5,25,0,0.16666666666666666,0.004844470733056653,10.506666666666668,44.9,0.0,3850.4643298969063,0.0,medium
NSR-GRID-109,30,0.5721881465514407,0.9112768813257884,0.4509766570895962,6,24,0,0.2,0.0047838356052873916,10.506666666666668,44.9,0.0,4594.3938144329895,0.0,medium
NSR-GRID-110,30,0.4868574589350355,0.8282956068012427,0.3632894764605541,5,25,0,0.16666666666666666,0.0051409763128024595,10.506666666666668,44.9,0.0,4067.2874226804133,0.0,medium
NSR-GRID-111,30,0.5124265769068738,0.8512307397119685,0.3907444846306924,5,25,0,0.16666666666666666,0.004593622622678364,10.506666666666668,44.9,0.0,4045.740053597199,0.0,medium
NSR-GRID-112,30,0.5309625625440951,0.8719452023430673,0.4088007377875852,5,25,0,0.16666666666666666,0.003960376259592043,10.506666666666668,44.9,0.0,4113.96371882086,0.0,medium
NSR-GRID-113,30,0.5262725675820321,0.8679444920275021,0.4029801334507611,5,25,0,0.16666666666666666,0.00450668809683667,10.506666666666668,44.9,0.0,4232.122499484429,0.0,medium
NSR-GRID-114,30,0.5420982320601837,0.8839782482085985,0.4201782088144463,5,25,0,0.16666666666666666,0.0037378414504314664,10.506666666666668,44.9,0.0,4321.896701030927,0.0,medium
NSR-GRID-115,30,0.5576494451801157,0.8973430201108865,0.4366319337607019,5,25,0,0.16666666666666666,0.004179075322495574,10.506666666666668,44.9,0.0,3917.207998350857,0.0,medium
NSR-GRID-116,30,0.4736566622553323,0.8147769509473218,0.3516919323343577,4,26,0,0.13333333333333333,0.004362224919900394,10.506666666666668,44.9,0.0,2755.062049062049,0.0,medium
NSR-GRID-117,30,0.37073350516118414,0.7095360244521317,0.2515440911332326,2,12,16,0.06666666666666667,0.005556521196881172,10.506666666666668,44.9,0.0,1389.5499896928463,0.0,medium
NSR-GRID-118,30,0.33672945998071724,0.678663196025119,0.214533814755702,2,10,18,0.06666666666666667,0.0049004275131751185,10.506666666666668,44.9,0.0,1345.265718408576,0.0,medium
NSR-GRID-119,30,0.5902857015520244,0.9260189056484306,0.4709414154369609,7,23,0,0.23333333333333334,0.00547673452783533,10.506666666666668,44.9,0.0,4527.309484536081,0.0,medium
NSR-GRID-120,30,0.6119586648067096,0.9499466572703786,0.4908814519865931,7,23,0,0.23333333333333334,0.0053432722525301275,10.506666666666668,44.9,0.0,4640.928865979381,0.0,medium
NSR-GRID-121,30,0.5627767746495397,0.9044707916531318,0.4409522908266821,6,24,0,0.2,0.0038627400807709814,10.506666666666668,44.9,0.0,4124.776082474227,0.0,medium
NSR-GRID-122,30,0.5284162499096017,0.8699836883591154,0.4051131843460215,5,25,0,0.16666666666666666,0.0047096613039569035,10.506666666666668,44.9,0.0,3938.9554639175235,0.0,medium
NSR-GRID-123,30,0.5354462949438858,0.8762811297720953,0.4137375481426986,5,25,0,0.16666666666666666,0.004359273561475776,10.506666666666668,44.9,0.0,4137.688865979381,0.0,medium
NSR-GRID-124,30,0.48796780229964865,0.8299682652075614,0.3656725706701117,5,25,0,0.16666666666666666,0.004057056395695356,10.506666666666668,44.9,0.0,3674.520717377861,0.0,medium
NSR-GRID-125,30,0.32706653446558964,0.6715154227206231,0.2036766082939534,2,6,22,0.06666666666666667,0.005802858769205798,10.506666666666668,44.9,0.0,1107.9938157081017,0.0,low
NSR-GRID-126,30,0.3009930392615536,0.640562313370446,0.1813627876462675,0,7,23,0.0,0.00510338246708345,10.506666666666668,44.9,0.0,450.65340206185596,0.0,low
NSR-GRID-127,30,0.26616998538320674,0.6088612900736088,0.1441760030795441,0,7,23,0.0,0.00473650902928216,10.506666666666668,44.9,0.0,22.06474226804123,0.0,low
